tweet_id,retweet_count,favorite_count,favorited,retweeted
669583744538451968,43.0,0.0,False,False
669597912108789760,5878.0,22240.0,False,False
669603084620980224,6667.0,28646.0,False,False
669625907762618368,4546.0,18463.0,False,False
669661792646373376,7258.0,31292.0,False,False
669680153564442624,3061.0,15900.0,False,False
669682095984410625,5582.0,27995.0,False,False
669683899023405056,9779.0,33988.0,False,False
669749430875258880,3462.0,15191.0,False,False
669753178989142016,1945.0,0.0,False,False
669923323644657664,1770.0,8876.0,False,False
669926384437997569,2105.0,14638.0,False,False
669942763794931712,3388.0,16015.0,False,False
669970042633789440,9721.0,32574.0,False,False
669972011175813120,6688.0,19645.0,False,False
669993076832759809,1554.0,11277.0,False,False
670003130994700288,,,,
670037189829525505,19.0,0.0,False,False
670040295598354432,3407.0,16028.0,False,False
670046952931721218,6910.0,23900.0,False,False
670055038660800512,5624.0,20389.0,False,False
670061506722140161,8971.0,30389.0,False,False
670069087419133954,2565.0,12922.0,False,False
670073503555706880,322.0,3412.0,False,False
670079681849372674,3726.0,16119.0,False,False
670086499208155136,4791.0,20166.0,False,False
670093938074779648,7477.0,30081.0,False,False
670290420111441920,4878.0,0.0,False,False
670303360680108032,3109.0,15694.0,False,False
670319130621435904,1871.0,11301.0,False,False
670338931251150849,8350.0,41890.0,False,False
670361874861563904,4254.0,24946.0,False,False
670374371102445568,4552.0,24468.0,False,False
670385711116361728,722.0,8101.0,False,False
670403879788544000,3000.0,16176.0,False,False
670408998013820928,3215.0,0.0,False,False
670411370698022913,426.0,0.0,False,False
670417414769758208,5017.0,23289.0,False,False
670420569653809152,1316.0,5396.0,False,False
670421925039075328,410.0,6933.0,False,False
670427002554466305,3385.0,18618.0,False,False
670428280563085312,4264.0,20345.0,False,False
670433248821026816,5781.0,19742.0,False,False
670434127938719744,3143.0,21319.0,False,False
670435821946826752,3886.0,19951.0,False,False
670442337873600512,11441.0,44326.0,False,False
670444955656130560,3041.0,14016.0,False,False
670449342516494336,8959.0,31424.0,False,False
670452855871037440,9918.0,30855.0,False,False
670465786746662913,2835.0,15887.0,False,False
670468609693655041,8624.0,29074.0,False,False
670474236058800128,4751.0,25061.0,False,False
670668383499735048,,,,
670676092097810432,1790.0,7609.0,False,False
670679630144274432,5347.0,23235.0,False,False
670691627984359425,7584.0,0.0,False,False
670704688707301377,2539.0,13575.0,False,False
670717338665226240,3165.0,15016.0,False,False
670727704916926465,,,,
670733412878163972,3104.0,16404.0,False,False
670755717859713024,2184.0,13603.0,False,False
670764103623966721,2927.0,15138.0,False,False
670778058496974848,4590.0,21400.0,False,False
670780561024270336,2729.0,16842.0,False,False
670782429121134593,5996.0,21467.0,False,False
670783437142401025,,,,
670786190031921152,3622.0,15251.0,False,False
670789397210615808,1277.0,6721.0,False,False
670792680469889025,3490.0,18076.0,False,False
670797304698376195,5769.0,24427.0,False,False
670803562457407488,3020.0,13966.0,False,False
670804601705242624,15042.0,0.0,False,False
670807719151067136,7783.0,25693.0,False,False
670811965569282048,3678.0,12648.0,False,False
670815497391357952,5485.0,19795.0,False,False
670822709593571328,4643.0,15836.0,False,False
670823764196741120,5290.0,22874.0,False,False
670826280409919488,1764.0,0.0,False,False
670832455012716544,16110.0,0.0,False,False
670833812859932673,2.0,174.0,False,False
670838202509447168,973.0,12296.0,False,False
670840546554966016,1764.0,9011.0,False,False
670842764863651840,4536.0,16468.0,False,False
670995969505435648,5733.0,19283.0,False,False
671109016219725825,2276.0,13439.0,False,False
671115716440031232,7748.0,27504.0,False,False
671122204919246848,144.0,0.0,False,False
671134062904504320,6532.0,27170.0,False,False
671138694582165504,4006.0,19694.0,False,False
671141549288370177,2069.0,11186.0,False,False
671147085991960577,35.0,0.0,False,False
671151324042559489,11018.0,0.0,False,False
671154572044468225,1339.0,10969.0,False,False
671159727754231808,4777.0,22566.0,False,False
671163268581498880,10076.0,0.0,False,False
671166507850801152,332.0,1677.0,False,False
671182547775299584,1.0,139.0,False,False
671186162933985280,3143.0,17694.0,False,False
671347597085433856,7870.0,34237.0,False,False
671355857343524864,443.0,3858.0,False,False
671357843010908160,2279.0,12851.0,False,False
671362598324076544,,,,
671390180817915904,2370.0,16122.0,False,False
671485057807351808,,,,
671486386088865792,2294.0,12816.0,False,False
671488513339211776,4655.0,19401.0,False,False
671497587707535361,2234.0,12664.0,False,False
671504605491109889,556.0,0.0,False,False
